gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2626302023	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/73858293/original.jpeg	https://www.inaturalist.org/photos/73858293					2019-01-25T12:27:04Z	mattcasselman		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mattcasselman
2626114272	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/74055268/original.jpg	https://www.inaturalist.org/photos/74055268					2020-05-21T03:27:16Z	poppyng		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	poppyng
2620094250	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/71546334/original.jpeg	https://www.inaturalist.org/photos/71546334					2020-05-06T19:41:26Z	Norm Conrad		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norm Conrad
2620038220	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70963275/original.jpeg	https://www.inaturalist.org/photos/70963275					2020-05-03T15:55:13Z	stroelstrup		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	stroelstrup
2619948382	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/31605233/original.jpg	https://www.inaturalist.org/photos/31605233					2019-02-18T22:20:18Z	Jason Headley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jason Headley
2619948382	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/31605239/original.jpg	https://www.inaturalist.org/photos/31605239					2019-02-18T22:20:19Z	Jason Headley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jason Headley
2611420802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69400112/original.jpg	https://www.inaturalist.org/photos/69400112					2020-04-11T12:16:04Z	Tracey Chen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tracey Chen
2611420802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69391441/original.jpg	https://www.inaturalist.org/photos/69391441					2020-04-11T12:13:01Z	Tracey Chen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tracey Chen
2611420802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69400239/original.jpg	https://www.inaturalist.org/photos/69400239					2020-04-11T12:17:41Z	Tracey Chen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tracey Chen
2611420802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69400410/original.jpg	https://www.inaturalist.org/photos/69400410					2020-04-11T12:17:55Z	Tracey Chen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tracey Chen
2611420802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69400546/original.jpg	https://www.inaturalist.org/photos/69400546					2020-04-11T12:26:00Z	Tracey Chen		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Tracey Chen
2611383458	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70301555/original.jpg	https://www.inaturalist.org/photos/70301555					2019-04-24T23:47:02Z	John D Reynolds		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	John D Reynolds
2611294506	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/70017861/original.jpeg	https://www.inaturalist.org/photos/70017861					2020-01-23T12:06:38Z	Ann Simpson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ann Simpson
2611290233	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/69184834/original.jpeg	https://www.inaturalist.org/photos/69184834					2019-09-04T00:00:00Z	Blair Dudeck		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Blair Dudeck
2611180987	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/68472926/original.jpeg	https://www.inaturalist.org/photos/68472926					2014-11-25T21:48:27Z	Emma Griggs		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Emma Griggs
2609304218	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/67963665/original.jpeg	https://www.inaturalist.org/photos/67963665					2020-04-21T20:34:18Z	Norm Conrad		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Norm Conrad
2609278123	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/76704035/original.jpeg	https://www.inaturalist.org/photos/76704035					2020-04-19T19:31:01Z	bombus_fervidus		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bombus_fervidus
